id,conversation_id,created_at,date,time,time_zone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweet_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,geo,source,rt_user_id,retweet_date,retweet_id
1306252235123224578,1306252235123224578,2020-09-16 15:22:56,2020-09-16,15:22:56,UTC,1297968425461886976,mayank_ms0106,Mayank Singh,,"परंतु asymptomatic व covid +ve होने के कारण मैं और मेरे जैसे लाखों छात्र-छात्राएँ अपनी पूर्ण क्षमता का प्रदर्शन करने में असमर्थ रहें। हमारा सविनय निवेदन है कि अक्तूबर माह के प्रारंभ में उन सभी छात्रों के लिए NEET सत्र 2 का आयोजन किया जाए, जो इच्छुक हैं, जैसे 2016 में किया गया था।",[],[],[],0,0,0,[],[],http://twitter.com/anyuser/status/1306252235123224578,False, ,0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,0
1306252221407924224,1306252221407924224,2020-09-16 15:22:53,2020-09-16,15:22:53,UTC,433115234,harshparmar89,Harsh Parmar,"Calgary, Alberta","RT @Jairam_Ramesh: आज राज्य सभा में COVID-19 की गंभीर स्थिति पर माननीय सदस्यों को खुल कर बोलने की अनुमति नहीं दी गई, यह निराशाजनक है। इस स…",['Jairam_Ramesh'],[],[],0,516,0,[],[],http://twitter.com/anyuser/status/1306252221407924224,False, ,0,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2547533580,Wed Sep 16 09:17:52 +0000 2020,1306160364711600129
1306252198863462401,1306252198863462401,2020-09-16 15:22:47,2020-09-16,15:22:47,UTC,170753675,kunalksingh13,Kunal Kishore Singh,"Dhanbad,India",RT @anuragkashyap72: Distraction सुशांत सिंह राजपूत से हट के अब ड्रग्स पे आ पहुँचा है । economy अभी गड्ढे में पड़ी एक नया गड्ढा खोद रही है…,['anuragkashyap72'],[],[],0,3302,0,[],[],http://twitter.com/anyuser/status/1306252198863462401,False, ,0,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2915766225,Wed Sep 16 12:41:17 +0000 2020,1306211556548468736
1306252040633421824,1306252040633421824,2020-09-16 15:22:10,2020-09-16,15:22:10,UTC,2992259190,RT_Himachal,Himachali Retweets,"Himachal Pradesh, India",RT @himachalkesari: मां चिंतपूर्णी दर्शनों के लिए कोविड-19 टैस्ट जरूरी नहीं पर रखना होगा ये ख्याल  https://t.co/ygOkYFajGt #Himachal #Una #…,['himachalkesari'],"[{'url': 'https://t.co/ygOkYFajGt', 'expanded_url': 'http://himachal.punjabkesari.in/himachal-pradesh/news/covid-19-test-is-not-required-for-visit-to-maa-chintpurni-1244053', 'display_url': 'himachal.punjabkesari.in/himachal-prade…', 'indices': [99, 122]}]",[],0,1,0,"['Himachal', 'Una']",[],http://twitter.com/anyuser/status/1306252040633421824,False, ,0,,"<a href=""http://www.hillcrafts.in"" rel=""nofollow"">himachalibot</a>",3286305842,Wed Sep 16 15:22:04 +0000 2020,1306252017631817728
1306251979379806210,1306251979379806210,2020-09-16 15:21:55,2020-09-16,15:21:55,UTC,882078129954717696,VinayJh1978,Vinay Jha,"Jhanjharpur, India",RT @skrjbp: @anuragkashyap72 एक बात समझ से परे है सारे नशेड़ी ड्रग जांच पर इतना क्यों डरे हुए है। अबे नासमझ Economy और covid या China की…,"['skrjbp', 'anuragkashyap72']",[],[],0,2,0,[],[],http://twitter.com/anyuser/status/1306251979379806210,False, ,0,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",100474027,Wed Sep 16 12:55:06 +0000 2020,1306215029977432064
1306251953547042817,1306251953547042817,2020-09-16 15:21:49,2020-09-16,15:21:49,UTC,1199076623196123136,Trident_0,Trident🔱,,"RT @Republic_Bharat: सुशांत केसः श्रुति मोदी से बीच में रुकी पूछताछ; NCB अधिकारी कोरोना पॉजिटिव
https://t.co/1d3feXpb07",['Republic_Bharat'],"[{'url': 'https://t.co/1d3feXpb07', 'expanded_url': 'https://bharat.republicworld.com/entertainment-news/bollywood-news/sushant-case-shruti-modi-sent-back-after-ncb-member-tests-covid-positive', 'display_url': 'bharat.republicworld.com/entertainment-…', 'indices': [96, 119]}]",[],0,105,0,[],[],http://twitter.com/anyuser/status/1306251953547042817,False, ,0,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",938002728898347008,Wed Sep 16 10:40:37 +0000 2020,1306181186063085568
1306251926980288518,1306251926980288518,2020-09-16 15:21:43,2020-09-16,15:21:43,UTC,1254440759517904896,SSantu1997,SuSaNT.SanTu1997,,"RT @rajnathsingh: सदन को आश्वस्त रहना चाहिए कि हमारी armed forces इस चुनौती का सफलतापूर्वक सामना करेंगी।

Covid-19 के चुनौतीपूर्ण समय में,…",['rajnathsingh'],[],[],0,1042,0,[],[],http://twitter.com/anyuser/status/1306251926980288518,False, ,0,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1346439824,Tue Sep 15 11:33:08 +0000 2020,1305832015132946432
1306251921703936000,1306251921703936000,2020-09-16 15:21:41,2020-09-16,15:21:41,UTC,972531016270319617,jatinderSahni4,jatinder Sahni,,"RT @rssurjewala: 3/3
5. सक्रिय कोरोना संक्रमण मामलों में - दुनिया में भारत दूसरे नंबर पर (9,95,933 संक्रमण)।

6. कोरोना से हुई कुल मौतों…",['rssurjewala'],[],[],0,295,0,[],[],http://twitter.com/anyuser/status/1306251921703936000,False, ,0,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3066787711,Wed Sep 16 04:17:20 +0000 2020,1306084732376031239
1306251790250201089,1306251790250201089,2020-09-16 15:21:10,2020-09-16,15:21:10,UTC,939454147744681984,BhupendraSidar2,Bhupendra Sidar,,RT @LambaAlka: अदालतों की नज़र अगर दिल्ली पर ना हो तो सिर्फ दिल्ली ही नहीं बल्कि पूरा देश केजरीवाल सरकार के फ़र्जी मॉडल का शिकार होता रहे..…,['LambaAlka'],[],[],0,89,0,[],[],http://twitter.com/anyuser/status/1306251790250201089,False, ,0,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",109930762,Wed Sep 16 07:30:14 +0000 2020,1306133275681775616
1306251782759182336,1306251782759182336,2020-09-16 15:21:08,2020-09-16,15:21:08,UTC,1080772783674556417,adityaverma9198,Journalist Aditya Kumar Verma,Maharajganj U.P,"RT @maharajganjpol: #SP_महराजगंज द्वारा थाना श्यामदेउरवा व चौकी कतरारी का औचक निरीक्षण किया गया।निरीक्षण के दौरान थाना कार्यालय,हवालात,कर्म…",['maharajganjpol'],[],[],0,3,0,['SP_महराजगंज'],[],http://twitter.com/anyuser/status/1306251782759182336,False, ,0,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",734679692918161408,Wed Sep 16 14:37:24 +0000 2020,1306240776565747715
